,start_destination,end_destination,start_date,price,num_stops,airline_names,stop_cities,journey_duration,dep_time,dep_meridiem,arrival_time,arrival_meridiem
0,MUC,SYD,2023-09-01,470,1 stop,TAP AIR PORTUGAL,LIS,14h 35m,6:05,am,2:40,pm
1,MUC,SYD,2023-09-01,420,1 stop,"Lufthansa, Air Caraïbes",CDG-ORY,18h 35m,6:45,am,7:20,pm
2,MUC,SYD,2023-09-01,643,1 stop,Lufthansa,FRA,11h 45m,9:00,am,2:45,pm
3,MUC,SYD,2023-09-01,612,1 stop,Delta,ATL,14h 10m,10:25,am,6:35,pm
4,MUC,SYD,2023-09-01,615,1 stop,Delta,CDG,14h 10m,9:55,am,6:05,pm
5,MUC,SYD,2023-09-01,617,1 stop,Air France,CDG,14h 10m,9:55,am,6:05,pm
6,MUC,SYD,2023-09-01,628,1 stop,LOT,WAW,16h 35m,7:00,am,5:35,pm
7,MUC,SYD,2023-09-01,612,1 stop,Delta,ATL,16h 10m,10:25,am,8:35,pm
8,MUC,SYD,2023-09-01,618,1 stop,Air France,ATL,16h 10m,10:25,am,8:35,pm
9,MUC,SYD,2023-09-01,615,1 stop,Delta,CDG,16h 50m,7:15,am,6:05,pm
10,MUC,SYD,2023-09-01,619,2 stops,Delta,"AMS, ATL",16h 35m,2:05,pm,12:40,am
11,MUC,SYD,2023-09-01,617,1 stop,Air France,CDG,16h 50m,7:15,am,6:05,pm
12,MUC,SYD,2023-09-01,615,1 stop,Delta,CDG,17h 05m,9:55,am,9:00,pm
13,MUC,SYD,2023-09-01,612,1 stop,Delta,ATL,18h 18m,10:25,am,10:43,pm
14,MUC,SYD,2023-09-01,617,1 stop,Air France,CDG,17h 05m,9:55,am,9:00,pm
15,MUC,SYD,2023-09-01,803,1 stop,Air Europa,MAD,14h 00m,10:45,am,6:45,pm
16,MUC,SYD,2023-09-01,721,2 stops,Delta,"AMS, CDG",15h 10m,11:50,am,9:00,pm
17,MUC,SYD,2023-09-01,615,1 stop,Delta,CDG,19h 45m,7:15,am,9:00,pm
18,MUC,SYD,2023-09-01,683,2 stops,LOT,"KRK, WAW",16h 15m,7:20,am,5:35,pm
19,MUC,SYD,2023-09-01,616,2 stops,Delta,"AMS, BOS",18h 22m,7:00,am,7:22,pm
20,MUC,SYD,2023-09-01,712,1 stop,Turkish Airlines,IST,17h 05m,6:55,pm,6:00,am
21,MUC,SYD,2023-09-01,617,1 stop,Air France,CDG,19h 45m,7:15,am,9:00,pm
22,MUC,SYD,2023-09-01,489,1 stop,"Lufthansa, Air Caraïbes",ORY,17h 50m,7:30,am,7:20,pm
23,MUC,SYD,2023-09-01,612,1 stop,Delta,ATL,20h 15m,10:25,am,12:40,am
24,MUC,SYD,2023-09-01,616,2 stops,Delta,"AMS, MSP",19h 40m,9:25,am,11:05,pm
25,MUC,SYD,2023-09-01,703,2 stops,Delta,"AMS, ATL",17h 10m,9:25,am,8:35,pm
26,MUC,SYD,2023-09-01,619,2 stops,Delta,"AMS, ATL",18h 50m,11:50,am,12:40,am
27,MUC,SYD,2023-09-01,706,2 stops,Delta,"AMS, JFK",17h 11m,11:50,am,11:01,pm
28,MUC,SYD,2023-09-01,703,2 stops,Delta,"AMS, DTW",17h 15m,7:00,am,6:15,pm
29,MUC,SYD,2023-09-01,616,2 stops,Delta,"AMS, JFK",19h 36m,9:25,am,11:01,pm
30,MUC,SYD,2023-09-01,627,2 stops,Air France,"CDG, JFK",19h 06m,9:55,am,11:01,pm
31,MUC,SYD,2023-09-01,627,2 stops,Air France,"CDG, ATL",19h 20m,7:15,am,8:35,pm
32,MUC,SYD,2023-09-01,708,2 stops,Delta,"CDG, ATL",17h 20m,7:15,am,6:35,pm
33,MUC,SYD,2023-09-01,721,2 stops,Delta,"AMS, CDG",17h 05m,7:00,am,6:05,pm
34,MUC,SYD,2023-09-01,703,2 stops,Delta,"AMS, ATL",17h 35m,7:00,am,6:35,pm
35,MUC,SYD,2023-09-01,707,2 stops,Delta,"CDG, JFK",17h 43m,7:15,am,6:58,pm
36,MUC,SYD,2023-09-01,721,2 stops,Delta,"AMS, CDG",17h 05m,7:00,am,6:05,pm
37,MUC,SYD,2023-09-01,721,2 stops,Delta,"AMS, CDG",17h 35m,9:25,am,9:00,pm
