start_destination,end_destination,start_date,price,num_stops,airline_names,stop_cities,journey_duration,dep_time,dep_meridiem,arrival_time,arrival_meridiem
MUC,MIA,2023-08-01,$509,2 stops,"Vueling, TAP AIR PORTUGAL","BCN, LIS",23h 45m,8:55,pm,2:40,pm
MUC,MIA,2023-08-01,$773,1 stop,Delta,ATL,14h 10m,10:25,am,6:35,pm
MUC,MIA,2023-08-01,$784,1 stop,TAP AIR PORTUGAL,LIS,14h 35m,6:05,am,2:40,pm
MUC,MIA,2023-08-01,$637,1 stop,TAP AIR PORTUGAL,LIS,24h 40m,8:00,pm,2:40,pm
MUC,MIA,2023-08-01,$773,1 stop,Delta,ATL,18h 18m,10:25,am,10:43,pm
MUC,MIA,2023-08-01,$876,1 stop,Delta,ATL,16h 10m,10:25,am,8:35,pm
MUC,MIA,2023-08-01,$962,1 stop,Turkish Airlines,IST,16h 35m,7:25,pm,6:00,am
MUC,MIA,2023-08-01,$962,1 stop,Turkish Airlines,IST,18h 10m,7:15,am,7:25,pm
MUC,MIA,2023-08-01,$663,1 stop,LOT,WAW,28h 00m,7:35,pm,5:35,pm
MUC,MIA,2023-08-01,"$1,083",1 stop,Air Europa,MAD,14h 00m,10:45,am,6:45,pm
MUC,MIA,2023-08-01,$773,1 stop,Delta,ATL,20h 15m,10:25,am,12:40,am
MUC,MIA,2023-08-01,$880,1 stop,Air France,CDG,17h 05m,9:55,am,9:00,pm
MUC,MIA,2023-08-01,$880,1 stop,Air France,CDG,19h 45m,7:15,am,9:00,pm
MUC,MIA,2023-08-01,$968,1 stop,Delta,CDG,17h 05m,9:55,am,9:00,pm
MUC,MIA,2023-08-01,$987,2 stops,Delta,"AMS, CDG",15h 10m,11:50,am,9:00,pm
MUC,MIA,2023-08-01,$880,1 stop,Air France,CDG,19h 45m,7:15,am,9:00,pm
MUC,MIA,2023-08-01,$569,2 stops,"Lufthansa, TAP AIR PORTUGAL","LHR, LIS",26h 00m,6:40,pm,2:40,pm
